Name,Quantity in 1 unit,Type,Seller,"Price for 1 uint, rub","Sales, tons","Sales, th. rub",Weighted distribution,Price for 1 bit,Market Share,Sales in packages,Sales in bits
LIPTON(UNILEVER) ROYAL CEYLON,100,ч,п,162,77,59112,8,"1,62","0,1254814053","364,8888889","36488,88889"
KUBAN TEA,200,ч,в,194,54,52168,7,"0,97","0,110740864","268,9072165","53781,4433"
GREENFIELD(OR.TR.) CHOC.TOFFEE,25,ч/а,п,80,25,53888,13,"3,2","0,1143920349","673,6",16840
LIPTON(UNILEVER) CLAS.,100,ч,п,156,62,55124,15,"1,56","0,1170157834","353,3589744","35335,89744"
GREENFIELD(OR.TR.) CURRNT&MINT,25,ч/а,п,81,24,41835,8,"3,24","0,08880624223","516,4814815","12912,03704"
GRAND VELIKIY TIGR OTBORNIY,25,ч,п,32,79,56906,10,"1,28","0,1207985663","1778,3125","44457,8125"
MK SUPREME CTC ASSAM,100,ч,в,44,103,45044,3,"0,44","0,09561822338","1023,727273","102372,7273"
BROOKE BOND(UNILEVER) NASYTSHENNIY,100,ч,в,63,83,52316,15,"0,63","0,1110550345","830,4126984","83041,26984"
RICHARD ROYAL KENYA,100,ч,п,178,75,66192,9,"1,78","0,1405106439","371,8651685","37186,51685"
PRINCESSA NOORI KLUBNIKA,25,ч/а,п,46,37,45306,11,"1,84","0,09617439011","984,9130435","24622,82609"
GRAND VELIKIY TIGR OTBORNIY,100,ч,п,109,94,56636,8,"1,09","0,1202254174","519,5963303","51959,63303"
AHMAD TEA SUMMER THYME,100,ч/а,в,130,37,47983,21,"1,3","0,1018570556","369,1",36910
TESS THYME,25,ч/а,п,68,28,49990,11,"2,72","0,1061174626","735,1470588","18378,67647"
RISTON VINTAGE ENGLISH,200,ч,в,204,32,32626,10,"1,02","0,06925761824","159,9313725","31986,27451"
PRINCESSA NOORI BEST,100,ч,в,64,77,48870,8,"0,64","0,103739956","763,59375","76359,375"
GREENFIELD(OR.TR.) MAGIC YUNNAN,100,ч,в,86,65,55948,19,"0,86","0,118764949","650,5581395","65055,81395"
JUMBO OTBORNIY,250,ч,в,183,51,37487,2,"0,732","0,07957642171","204,8469945","51211,74863"
BETA(BETA TEA GK) ROYAL QUALITY,25,ч,п,69,21,25535,13,"2,76","0,05420502917","370,0724638","9251,811594"
PRINCESSA NOORI TSEYLONSKIY BUKET,250,ч,в,139,94,52395,6,"0,556","0,1112227336","376,942446","94235,61151"
MAYSKIY(MAY-FOODS) OTBORNIY,100,ч,в,62,80,49580,13,"0,62","0,1052471254","799,6774194","79967,74194"
BODROST(SAPSAN GR.CH.KO.) INDIYSKIY,25,ч,п,39,38,27743,16,"1,56","0,05889211374","711,3589744","17783,97436"
AHMAD TEA ENGLISH TEA N1 T,100,ч/а,в,131,32,41584,8,"1,31","0,088273426","317,4351145","31743,51145"
AKBAR MOUNTAIN FRESH,250,ч,в,273,52,57105,15,"1,092","0,1212209983","209,1758242","52293,95604"
GREENFIELD(OR.TR.) MAGIC YUNNAN,200,ч,в,154,28,20907,5,"0,77","0,04438083199","135,7597403","27151,94805"
KRASNODARSKIY(OB`ED.KRASN.CHA) CHYORNIY,200,ч,в,221,42,46701,15,"1,105","0,09913565958","211,3167421","42263,34842"
PRINCESSA NOORI KENIYSKIY,100,ч,п,133,59,39075,8,"1,33","0,08294738652","293,7969925","29379,69925"
GORDON NATURAL.TSEYLON.,100,ч,в,104,31,32516,4,"1,04","0,06902411312","312,6538462","31265,38462"
GREENFIELD(OR.TR.) CLASSIC BREAKFAST,100,ч,в,89,45,39879,12,"0,89","0,08465409666","448,0786517","44807,86517"
PRINCESSA NOORI CHABRETS I ZEMLYANIKA,25,ч/а,п,46,31,37579,9,"1,84","0,0797717169","816,9347826","20423,36957"
GREENFIELD(OR.TR.) VANILLA CRANBERRY,25,ч/а,п,82,22,48180,11,"3,28","0,102275242","587,5609756","14689,02439"
TESS ORANGE,100,ч/а,в,74,59,41762,14,"0,74","0,08865127974","564,3513514","56435,13514"
NAURYZ INDIYSKIY,250,ч,в,105,65,27183,3,"0,42","0,0577033604","258,8857143","64721,42857"
JUMBO OTBORNIY,100,ч,в,75,44,32364,2,"0,75","0,0687014515","431,52",43152
RISTON ENGLISH ELITE EARL GREY,100,ч/а,п,253,29,36976,15,"2,53","0,0784916843","146,1501976","14615,01976"
HILLWAY ROYAL CEYLON,25,ч/а,п,75,22,32959,7,3,"0,06996450192","439,4533333","10986,33333"
PRINCESSA NOORI KLUB.SO SLV.,25,ч/а,п,46,26,31481,9,"1,84","0,06682704223","684,3695652","17109,23913"
BASILUR CEYLON SPECIAL,100,ч,в,239,14,34319,12,"2,39","0,07285147429","143,5941423","14359,41423"
GOLDEN VICTORIA INDIYSKIY TRADITSIONNIY,25,ч,п,63,23,28500,2,"2,52","0,06049905351","452,3809524","11309,52381"
BROOKE BOND(UNILEVER) DUSHISTIY CHABRETS,25,ч/а,п,42,28,31280,18,"1,68","0,06640036469","744,7619048","18619,04762"
ALOKOZAY CHYORNIY,25,ч,п,70,22,29986,6,"2,8","0,06365349539","428,3714286","10709,28571"
PRINCESSA NOORI CHERNIKA I MYATA,25,ч/а,п,46,24,30168,8,"1,84","0,06403984022","655,826087","16395,65217"
TWININGS ENGLISH BREAKFAST,25,ч,п,177,9,32246,14,"7,08","0,06845096419","182,180791","4554,519774"
TWININGS ENGLISH BREAKFAST,100,ч,в,329,13,41703,14,"3,29","0,08852603609","126,7568389","12675,68389"
PRINCESSA NOORI SEVERNYE YAGODY,25,ч/а,п,46,28,34383,8,"1,84","0,07298733182","747,4565217","18686,41304"
HYLEYS ANGLIYS.ARISTOKR.,100,ч,п,262,21,26961,8,"2,62","0,05723210462","102,9045802","10290,45802"
AKBAR CLASSIC SERIES CEYLON,100,ч,п,172,30,25590,9,"1,72","0,05432178173","148,7790698","14877,90698"
RICHARD FIVE O CLOCK,25,ч/а,п,87,20,34773,13,"3,48","0,0738152136","399,6896552","9992,241379"
INDUS VYSOKOGORNIY,100,ч,п,147,44,32331,4,"1,47","0,06863139996","219,9387755","21993,87755"
GREENFIELD(OR.TR.) BARBERRY GARDEN,100,ч/а,в,88,40,35360,18,"0,88","0,07506128183","401,8181818","40181,81818"
AHMAD TEA EARL GREY,100,ч/а,п,263,26,33657,7,"2,63","0,07144619803","127,973384","12797,3384"
AKBAR GOLD,100,ч,п,247,42,51500,13,"2,47","0,1093228511","208,5020243","20850,20243"
AZERCAY PEKOE,100,ч,в,103,20,19885,5,"1,03","0,04221135716","193,0582524","19305,82524"
RICHARD KING`S TEA N 1,100,ч/а,п,215,37,38785,13,"2,15","0,08233178212","180,3953488","18039,53488"
BASILUR ORIENT.COLL. MASALA CHAI,100,ч/а,в,230,13,30680,14,"2,3","0,06512670041","133,3913043","13339,13043"
BASILUR ORIENT.COLL. MAGIC NIGHTS,100,ч/а,в,240,9,21901,9,"2,4","0,04649086915","91,25416667","9125,416667"
IMPRA TSEYLONSKIY,100,ч,в,73,72,52857,4,"0,73","0,1122034551","724,0684932","72406,84932"
TESS SUNRISE,200,ч,в,140,53,35352,8,"0,7","0,07504429964","252,5142857","50502,85714"
PRINCESSA NOORI ABRIKOSOVIY DESERT,25,ч/а,п,47,22,27886,8,"1,88","0,05919567039","593,3191489","14832,97872"
LIPTON(UNILEVER) HEART OF CEYLON,25,ч,п,69,47,62403,25,"2,76","0,1324674539","904,3913043","22609,78261"
GOLDEN VICTORIA INDIYSKIY TRADITSIONNIY,100,ч,п,201,38,36239,2,"2,01","0,0769272","180,2935323","18029,35323"
GREENFIELD(OR.TR.) PREMIUM ASSAM,25,ч,п,83,22,36098,9,"3,32","0,0766278889","434,9156627","10872,89157"
SIR THOMAS LIPTON EARL GREY,25,ч/а,п,128,5,9634,11,"5,12","0,02045080286","75,265625","1881,640625"
HYLEYS,25,ч,п,73,22,32629,3,"2,92","0,06926398656","446,9726027","11174,31507"
AZERCAY PREMIM,25,ч,п,83,15,24359,3,"3,32","0,05170864717","293,4819277","7337,048193"
LISMA KREPKIY,100,ч,в,49,62,30382,5,"0,49","0,06449411381","620,0408163","62004,08163"
INDUS KLASS.,100,ч,п,145,41,28902,4,"1,45","0,06135240858","199,3241379","19932,41379"
GORDON NATURAL.TSEYLON.,25,ч,п,58,21,24423,3,"2,32","0,0518445047","421,0862069","10527,15517"
BASILUR UVA,100,ч,п,351,14,24477,8,"3,51","0,05195913448","69,73504274","6973,504274"
HYLEYS,100,ч,в,93,30,28116,3,"0,93","0,05968390837","302,3225806","30232,25806"
GOLD BOND(MADH.JAYAN.INT./IND) ASSAM,25,ч,п,45,27,24368,2,"1,8","0,05172775214","541,5111111","13537,77778"
AHMAD TEA SUMMER THYME,25,ч/а,п,83,8,14686,4,"3,32","0,03117505613","176,939759","4423,493976"
TWININGS EARL GREY,25,ч/а,п,174,8,26317,14,"6,96","0,05586503829","151,2471264","3781,178161"
BERNLEY ENGLISH CLASSIC,25,ч,п,58,32,36160,12,"2,32","0,07675950087","623,4482759","15586,2069"
GREENFIELD EAST.CHEER,25,ч/а,п,85,15,33782,11,"3,4","0,07171154476","397,4352941","9935,882353"
AZERCAY THYME,100,ч/а,п,203,22,21606,4,"2,03","0,04586465088","106,4334975","10643,34975"
SIR THOMAS LIPTON FINE CEYLON,100,ч,в,224,9,19596,9,"2,24","0,04159787553","87,48214286","8748,214286"
GREENFIELD(OR.TR.) HONEY LINDEN,25,ч/а,п,85,9,20518,6,"3,4","0,04355507298","241,3882353","6034,705882"
RISTON ENGLISH ELITE EARL GREY,200,ч,в,224,19,21449,4,"1,12","0,04553137539","95,75446429","19150,89286"
CHAMPION(BETA TEA GK) PEKOE,250,ч,в,227,21,19333,3,"0,908","0,04103958602","85,16740088","21291,85022"
PRINCESSA GITA MEDIUM,100,ч,в,28,85,23533,5,"0,28","0,04995523601","840,4642857","84046,42857"
RISTON EARL GREY,200,ч/а,в,213,22,23534,8,"1,065","0,04995735878","110,4882629","22097,65258"
BASILUR UVA,25,ч,п,91,12,21145,10,"3,64","0,04488605216","232,3626374","5809,065934"
GREENFIELD ENGL.EDITN,25,ч,п,78,5,8582,1,"3,12","0,01821764481","110,025641","2750,641026"
NAURYZ INDIYSKIY,25,ч,п,44,16,15741,2,"1,76","0,0334145825","357,75","8943,75"
AZERCAY THYME,25,ч/а,п,89,10,18053,4,"3,56","0,03832243554","202,8426966","5071,067416"
AKBAR,25,ч,п,63,16,20404,12,"2,52","0,04331307676","323,8730159","8096,825397"
MERI CHAI ZDOROV`E,250,ч,в,146,22,12829,1,"0,584","0,02723306517","87,86986301","21967,46575"
AKBAR CEYLON,250,ч,в,276,18,19184,5,"1,104","0,04072329272","69,50724638","17376,81159"
ZOLOTAYA CHASHA INDIYSKIY,100,ч,п,128,32,26755,7,"1,28","0,05679481321","209,0234375","20902,34375"
ALOKOZAY CHYORNIY,100,ч,в,78,28,21610,4,"0,78","0,04587314198","277,0512821","27705,12821"
GOLDEN VICTORIA TSEYLONSKIY OTBORNIY,25,ч,п,62,16,19558,3,"2,48","0,04151721012","315,4516129","7886,290323"
IMPRA PURE CEYLON,200,ч,в,146,22,15744,2,"0,73","0,03342095082","107,8356164","21567,12329"
DILMAH ENGLISH PREMIUM,25,ч,п,72,27,34086,13,"2,88","0,072356868","473,4166667","11835,41667"
PIALA KENIYSKIY,250,ч,в,138,32,17592,2,"0,552","0,03734383682","127,4782609","31869,56522"
AKBAR CLASSIC SERIES CEYLON,25,ч,п,58,13,14255,5,"2,32","0,03026014062","245,7758621","6144,396552"
IMPRA BROKEN ORANGE PEKOE,250,ч,в,175,63,44326,2,"0,7","0,09409407178","253,2914286","63322,85714"
BATTLER DVA VELIKANA,250,ч,в,234,36,33948,3,"0,936","0,07206392521","145,0769231","36269,23077"
PIALA GOLD,25,ч,п,60,13,17452,3,"2,4","0,03704664849","290,8666667","7271,666667"
HYLEYS,250,ч,в,210,36,30099,3,"0,84","0,06389336883","143,3285714","35832,14286"
AHMAD TEA ENGLISH TEA N1 EARL GREY,100,ч/а,п,239,23,23238,1,"2,39","0,04932901773","97,23012552","9723,012552"
BODROST(SAPSAN GR.CH.KO.) KITAYSKIY,25,ч,п,42,9,7503,7,"1,68","0,01592717188","178,6428571","4466,071429"
RISTON ENGLISH ELITE EARL GREY,25,ч/а,п,82,13,21967,8,"3,28","0,04663097223","267,8902439","6697,256098"
GOLDEN VICTORIA TSEYLONSKIY OTBORNIY,100,ч,п,216,20,21195,2,"2,16","0,04499219085","98,125","9812,5"
LONDON TEA CLUB ENGLISH BREAKFAST,100,ч,п,146,26,18601,3,"1,46","0,03948571559","127,4041096","12740,41096"
RISTON ENGLISH ELITE EARL GREY,100,ч/а,в,117,18,20690,7,"1,17","0,04392019007","176,8376068","17683,76068"
SIR THOMAS LIPTON FINE CEYLON,25,ч,п,134,3,5372,9,"5,36","0,01140354089","40,08955224","1002,238806"
BESEDA(UNILEVER) KLASS.,100,ч,п,124,31,21365,5,"1,24","0,04535306239","172,2983871","17229,83871"
HYLEYS,100,ч,п,256,21,27477,2,"2,56","0,0583274559","107,3320313","10733,20313"
MONARCH CEYLON ENGLISH BLEND,250,ч,в,173,26,17671,1,"0,692","0,03751153595","102,1445087","25536,12717"
LISMA NASYTSHENNIY IND.,100,ч,п,119,30,17259,3,"1,19","0,03663695314","145,0336134","14503,36134"
ALOKOZAY CHYORNIY,100,ч,п,230,17,18990,8,"2,3","0,0403114746","82,56521739","8256,521739"
GREENFIELD(OR.TR.) PREMIUM ASSAM,100,ч,в,88,19,16544,7,"0,88","0,03511916987",188,18800
RISTON ORIGINAL BLEND,100,ч,п,170,13,10211,2,"1,7","0,02167564335","60,06470588","6006,470588"
BERNLEY ENGLISH BREAKFAST,100,ч,п,168,22,18069,7,"1,68","0,03835639992","107,5535714","10755,35714"
BERNLEY ENGLISH CLASSIC,100,ч,п,161,40,28568,5,"1,61","0,06064340213","177,4409938","17744,09938"
NEWBY EARL GREY,25,ч/а,п,400,2,19101,8,16,"0,04054710249","47,7525","1193,8125"
MAITRE NOIR DE LUXE,100,ч,в,282,9,24441,8,"2,82","0,05188271462","86,67021277","8667,021277"
HYLEYS ANGLIYS.ARISTOKR.,25,ч,п,84,11,18789,3,"3,36","0,03988479707","223,6785714","5591,964286"
BERNLEY ENGLISH BREAKFAST,25,ч,п,59,12,13705,4,"2,36","0,02909261503","232,2881356","5807,20339"
PRINCESSA NOORI EARL GREY,250,ч/а,в,128,37,19151,3,"0,512","0,04065324118","149,6171875","37404,29688"
PRINCESSA NOORI EARL GREY,100,ч/а,в,55,38,20687,6,"0,55","0,04391382175","376,1272727","37612,72727"
HYLEYS ANGLIYSKIY FAVORIT,200,ч,в,169,26,22324,8,"0,845","0,04738880247","132,0946746","26418,93491"
TWININGS EARL GREY,100,ч/а,в,319,9,29197,12,"3,19","0,06197862685","91,52664577","9152,664577"
AKBAR 100 YEARS,100,ч,в,123,27,32781,14,"1,23","0,06958664818","266,5121951","26651,21951"
LISMA BODRYATSHIY TSEYLONSKIY,100,ч,п,95,21,11191,0,"0,95","0,02375596168","117,8",11780
AKBAR CLASSIC SERIES CEYLON,100,ч,в,102,23,22620,7,"1,02","0,04801714352","221,7647059","22176,47059"
HILLWAY ROYAL CEYLON,100,ч,п,256,21,26682,4,"2,56","0,05663985073","104,2265625","10422,65625"
BASILUR UVA,200,ч,в,316,8,13093,3,"1,58","0,02779347746","41,4335443","8286,708861"
HYLEYS ANGLIYS.ARISTOKR.,100,ч,в,113,13,14734,4,"1,13","0,03127694928","130,3893805","13038,93805"
HILLWAY FINE EARL GREY EARL GREY,25,ч/а,п,77,12,18509,6,"3,08","0,0392904204","240,3766234","6009,415584"
HILLWAY ROYAL CEYLON,100,ч,в,97,18,17115,5,"0,97","0,03633127371","176,443299","17644,3299"
LISMA KREPKIY STRAWBERRY,25,ч/а,п,41,15,16329,6,"1,64","0,0346627735","398,2682927","9956,707317"
MABROC 1001 NIGHTS,25,ч/а,п,99,8,16043,1,"3,96","0,03405566019","162,0505051","4051,262626"
MK SUPREME,25,ч/а,п,47,17,15882,1,"1,88","0,03371389361","337,9148936","8447,87234"
LISMA KREPKIY BLACKCURRANT,25,ч/а,п,42,14,15378,4,"1,68","0,03264401561","366,1428571","9153,571429"
ALOKOZAY EARL GREY,25,ч/а,п,91,9,16259,8,"3,64","0,03451417933","178,6703297","4466,758242"
REAL RAYSKIE PTITSY CEYLON,250,ч/а,в,273,15,16761,2,"1,092","0,03557981178","61,3956044","15348,9011"
TESS EARL GREY,25,ч/а,п,70,10,15204,3,"2,8","0,03227465297","217,2",5430
PRINCESSA GITA MEDIUM,250,ч,в,59,69,16286,4,"0,236","0,03457149423","276,0338983","69008,47458"
INDUS KLASS,25,ч,п,45,19,17271,4,"1,8","0,03666242643","383,8",9595
RISTON EARL GREY,100,ч/а,п,273,11,20012,11,"2,73","0,04248094943","73,3040293","7330,40293"
REAL RAYSKIE PTITSY CEYLON,100,ч,в,124,9,11197,2,"1,24","0,02376869832","90,2983871","9029,83871"
LISMA ZAVARKIN EARL GREY,25,ч/а,п,33,21,17931,4,"1,32","0,03806345714","543,3636364","13584,09091"
AHMAD TEA INDIAN ASSAM,200,ч,в,220,15,15944,2,"1,1","0,03384550558","72,47272727","14494,54545"
AHMAD TEA SUMMER THYME THYME,200,ч/а,в,253,7,8107,2,"1,265","0,01720932726","32,04347826","6408,695652"
NEWBY ASSAM,25,ч,п,360,2,11772,9,"14,4","0,02498929326","32,7","817,5"
LONDON TEA CLUB ASSAM,100,ч,п,147,21,14996,2,"1,47","0,03183311601","102,0136054","10201,36054"
LISMA KREPKIY FOREST BERRY,25,ч/а,п,41,14,15006,5,"1,64","0,03185434375",366,9150
MK SUPREME CTC ASSAM,250,ч,в,99,42,16480,1,"0,396","0,03498331234","166,4646465","41616,16162"
BATTLER VELIKIY SLON,250,ч,в,226,13,11966,2,"0,904","0,02540111138","52,94690265","13236,72566"
HYLEYS ANGL.KLASS.,100,ч,п,192,6,7132,3,"1,92","0,01513962279","37,14583333","3714,583333"
BATTLER DVA VELIKANA,100,ч,в,98,21,20511,3,"0,98","0,04354021356","209,2959184","20929,59184"
BROOKE BOND BERGAMOT,25,ч/а,п,45,12,14579,9,"1,8","0,03094791934","323,9777778","8099,444444"